Item,ReleaseType,WaveName,ReleaseYear,ProductLine,PropertyName,Manufacturer
Duel-Attack Slotsky,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Evil Light Lord Zed,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Falls Apart Putty Patrol,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Flap Attack Vampirus,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Head Butting Robo Goat,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Ivan Ooze,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Lord Zed Serpentera,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Mordant,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Black Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Blue Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Hornitor,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Ivan Ooze,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Pink Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Red Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Scorpitan,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch White Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition 8 inch Yellow Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition Black Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition Blue Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition Lord Zed,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition Pink Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition Red Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition White Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Movie Edition Yellow Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Ninja Megafalconzord,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Ninja Megafalconzord (Movie),Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Pink Ninja Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Pink Ranger's Shark Cycle,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Rapid-Fire Steamy Meany,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Red Ninja Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Red Ranger's Shark Cycle,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Series 2 Auto-Morphin Black Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Series 2 Auto-Morphin Red Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Series 2 Auto-Morphin White Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Series 2 Auto-Morphin Yellow Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
