"InventoryID","Item","Type","Property","Line","Wave","ReleaseYear","Complete","Sealed","Boxed","Condition","Notes"
"842","Mutagen Ooze","Accessory","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","Purple Box"
"849","M.O.U.S.E.R.S.","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 2","2013","True","True","True","Mint","Green Card"
"850","Robotic Foot Soldier","Figure","Teenage Mutant Ninja Turtles","2012 Nick","Wave 3","2014","True","True","True","Mint","Green Card"
"981","Evil-Lyn (classic deco)","Statue","Masters of the Universe","He-Man 200X Neca Staction","Wave 3","2006","True","True","True","Mint","Signed by 4 Horsemen"
"1042","Double Trouble","Figure","Masters of the Universe","Classics","Wave 7","2014","True","True","True","Mint","Double Mischief"
"1117","50's Chevy Truck V5229","Vehicle","Masters of the Universe","Hot Wheels","2011","2011","True","True","True","Mint","Skeletor & Panthor Deco"
"1118","Dairy Delivery V5258","Vehicle","Masters of the Universe","Hot Wheels","2011","2011","True","True","True","Mint","Land Shark Deco"
"1119","Grayskull 5-Pack GRM88","Vehicle","Masters of the Universe","Hot Wheels","2021","2021","True","True","True","Mint","W/ Shipping Box"
"1122","Wolf Armor He-Man vs. Snake Armor Skeletor","Multi-Pack","Masters of the Universe","He-Man 200X","Wave 5","2003","True","True","True","Mint","w/ sealed video"
"1137","Dragonfly","Vehicle","G.I. Joe","Vintage G.I. Joe","Wave 2","1983","True","False","False","Mint","w/ Figure"
"1141","W.H.A.L.E.","Vehicle","G.I. Joe","Vintage G.I. Joe","Wave 3","1984","True","False","False","Mint","w/ Figure"
"1143","Defiant","Playset","G.I. Joe","Vintage G.I. Joe","Wave 6","1987","True","False","True","Mint","w/ Figure - Blueprints"
"1145","Cobra H.I.S.S. (repro)","Vehicle","G.I. Joe","Vintage G.I. Joe","Wave 2","1983","True","False","False","Mint","w/ Figure - Blueprints"
"1146","Vamp (repro)","Vehicle","G.I. Joe","Vintage G.I. Joe","Wave 1","1982","True","False","False","Mint","Repro"
"1175","Knuckle Head","Vehicle","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","False","True","Mint","w/ Instructions"
"1178","Ace Duck","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 2","1989","True","True","True","Mint","Unpunched"
"1180","Ninja Knockin' Bebop","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","True","True","True","Mint","Unpunched"
"1182","Foot Soldier","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","True","False","Mint","10 Back"
"1183","Shredder","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","True","False","Mint","Unpunched 10-Back"
"1184","Michael Angelo","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","True","False","Mint","Unpunched 10-Back / Pop up mutant display stand"
"1185","Killer Bee","Vehicle","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 3","1990","False","False","True","Mint","Missing chain saw and paperwork"
"1186","Steelwill Ultrasonic Suit","Figure","Silverhawks","Silverhawks","Wave 2","1988","True","True","True","Mint","Unpunched"
"1188","Super Fright Features: Ray Stantz","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 7","1989","True","True","False","Mint","GBII Hype Sticker"
"1189","Haunted Human: Mail Fraud","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 4","1988","True","True","False","Mint","Spukis -Paul Post Bisser-"
"1205","Super Shredder","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Mint","Unpunched - Secret of Ooze packaging"
"1208","Handle Bar","Figure","Bravestarr","Bravestarr","Bravestarr","1986","True","True","True","Mint","Unpunched"
"1209","Sand Storm","Figure","Bravestarr","Bravestarr","Bravestarr","1986","True","True","True","Mint","Unpunched"
"1211","Ratar-o","Figure","Thundercats","Vintage Thundercats","Wave 2","1986","True","True","False","Mint","Alternate Weapons (Black)"
"1212","Highway Haunter","Vehicle","Real Ghostbusters","Vintage Real Ghostbusters","Wave 4","1988","True","True","True","Mint","Italian Version (L auto Fantasma)"
"1225","Frosta","Figure","Masters of the Universe","Princess of Power","Wave 1","1985","True","True","False","Mint","Graded"
"1231","Splinter","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","True","False","Mint","10-Back"
"1232","Metalhead","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 2","1989","True","True","False","Mint","Unpunched"
"1233","Donatello","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","True","False","Mint","10-Back"
"1234","Be-Bop","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 1","1988","True","True","False","Mint","10-Back"
"1235","Mondo Gekko","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 3","1990","True","True","False","Mint","Unpunched"
"1236","Krang","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 2","1989","True","True","False","Mint","Unpunched"
"1237","Teenage Mutant Ninja Turtles Colorforms","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","False","False","False","Near Mint","Missing one Pizza Slice"
"1312","Seeker: Ramjet","Figure","Transformers","G1 Transformers","Wave 2","1985","True","False","False","Mint","Includes Instructions"
"1321","Blaster (green) (25)","Figure","Go Bots","Vintage Go Bots","Vintage","1983","True","False","False","Mint","Missing missiles"
"1341","Autobot Car: Wheeljack","Figure","Transformers","G1 Transformers","Wave 1","1984","True","False","True","Mint","Loose with box: missing spoiler"
"1342","Ultra Magnus","Figure","Transformers","G1 Transformers","Wave 3","1986","True","False","False","Mint","With instructions"
